path,prefix_records,prefix_bytes,prefix_sha256,records_added,suffix_bytes,suffix_sha256,final_records,final_bytes,final_sha256
backend/artifacts.jsonl,189,153754,7294792526f75a1ea2409f797fa25c28694e115c95541387482602447e6ba646,4,3726,b33b212aae400fe59963618210181c571a821de3a3ab6f0e6b2832ee5a5f7b0c,193,157480,c50a3140513a5d243a6ce9f7256a29e97e3fab776764be476c9bfe9949a83b93
backend/assets.jsonl,87,64692,1df40f8f6ca4f2fbfbe8a7b924a68a153713a20a4eebe1d014d8fb04669945f7,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,87,64692,1df40f8f6ca4f2fbfbe8a7b924a68a153713a20a4eebe1d014d8fb04669945f7
backend/authority.jsonl,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869
backend/concepts.jsonl,483,152695,720d96a10a3c2abebab164e2181486743ef99efb50c6ef419faefbf528b8ead3,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,483,152695,720d96a10a3c2abebab164e2181486743ef99efb50c6ef419faefbf528b8ead3
backend/corrections.jsonl,564,594720,bd961fad5d83e96fec6ef83caa8447e2e5f282c603fd4983d79b5b4b54049fbb,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,564,594720,bd961fad5d83e96fec6ef83caa8447e2e5f282c603fd4983d79b5b4b54049fbb
backend/qa.jsonl,162,88999,da5c09949d53c4f77ca0c4089d99ca6ba178bdc4b7a463eb8bf68a55e9853e19,4,2182,0e2f1ac099341b606b4254499a04725fbee2538368aaec19717d81f27111017d,166,91181,25d3dae94c3c117e6aeb8a020fb5076199d25e71e2184ad5bf7c59ab3db722d4
backend/relations.jsonl,784,329688,1aea5c4f3e619718bda4c065f9d70d3281b4b35bcd712e8c98fcfbcf7509fefa,53,25838,deda8a8eebe079501f101b84f7bf0986c8253ffcbc14cd03127b9b7d3cddeb12,837,355526,64aeedd8836ccae7a9fa9418a4a8b83f93c026432bc8c00dd0ba53a8d0e65ba9
backend/rights.jsonl,103,93018,212673ced3907e59f8a38603f1c625a263a95656908c656a86e0d881b77f93b6,1,1582,58dca99142d05b3565a9530d92fee18a0c9e35db0227cbf672789afc5109e5e1,104,94600,2a034be29f7d544de52f4a0a1970bd4923531d4ac13180eaa45b432dc999b404
backend/segments.jsonl,1929,3130165,6078880c58c6b3194e874c85b4f2716b5436f0559f607f1b7551cd5140ffa376,25,47246,35a2c7cc12c099cead3c630560aed8c0b207ea8548da31ff036f9adf2f1ce412,1954,3177411,d17646479e4a8d91b618de5c4995c083dec5c208ef755d203a876645f7ab9d54
backend/terms.jsonl,476,315218,4b82f9d582ba747829373a7935fcc3cae56b96fd6b7486969ebb6d54cf927c50,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,476,315218,4b82f9d582ba747829373a7935fcc3cae56b96fd6b7486969ebb6d54cf927c50
backend/units.jsonl,1959,3286326,e2855fe4bb13ce55f48b29bd7d3279d5db7023ef6207fd07bf7b98385d5ddb63,25,51576,3dd2b832053ed429ad3ff99b153da7be023953d0daaf38a00c640673e9c8f232,1984,3337902,26cf11a2ba912bd8e22983204641ff22ffb0152128f20ca166195cb2abd41f3f
