role,page,path,bytes,sha256,width_px,height_px,status
frontmatter,1,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/front-001.png,145635,fa89e6bab66cbf9aae9889926e2956d4975f35e19168eed3cd9d2b2ef701ec98,993,1404,PASS
frontmatter,2,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/front-002.png,169852,900faba30bff65e7e9430c7c12fe013834155e2a5f038ea85f12ae659a4d55d0,993,1404,PASS
frontmatter,3,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/front-003.png,177652,0ab9a678a1702e399ec956abb8657eabe274cbe486d10f441dfb74915136c74b,993,1404,PASS
frontmatter,4,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/front-004.png,189961,ff68366b7590e26e1d174538bd709077f0ec4fbddd25710a77f3762eb124df0e,993,1404,PASS
frontmatter,5,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/front-005.png,193239,35a7891badc297b6181ae8e1fd69ead637db19ada037c64dbbb8638fc8918b72,993,1404,PASS
frontmatter,6,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/front-006.png,191753,17e7f119447176fc21937a8e0ea046afcd8f837d5eddaa93ce7557a47157cc88,993,1404,PASS
unit004_unit005_seam,424,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-424.png,278712,4c07f421e63c3e819ab29fc49706e3878fdf991269fac3aada654bfcc797e8f2,993,1404,PASS
fomberg_unit005,425,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-425.png,241457,c093f2183ce1b8f3c2c88ef5c0ce2ed6b53fc15ec117df378d9185de48bf9ac3,993,1404,PASS
fomberg_unit005,426,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-426.png,141149,16e6fcb4c3c0a5d740396d8bb55cfaa3ed51877bc3943a94154247a7a7d28939,993,1404,PASS
fomberg_unit005,427,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-427.png,227646,32ff7ed5761de14a9ed20dd30a6e8f3f99bc81bafeb73a78f69e063bb0b058b6,993,1404,PASS
fomberg_unit005,428,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-428.png,221341,84ee26790e0e50eaa9ad5527b6766f8db3d6a13d99a2135cc5a62fcb564c809c,993,1404,PASS
fomberg_unit005,429,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-429.png,194910,59e28f5b45d389edd54ee87021e88eae11fc6076f00b0530623eb15969df5c1b,993,1404,PASS
fomberg_unit005,430,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-430.png,285500,a7d8de95f12b2a557de4c69ee7d95d76c209d3601a94638a23b6ef032d045b0c,993,1404,PASS
fomberg_unit005,431,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-431.png,212262,e4911464bb0006892dcba9acece2b087731b8687f43d671f8c707e063f67124d,993,1404,PASS
fomberg_unit005,432,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-432.png,194767,947fa156ec69be5c68025f1c936cfc1ab44b7fdf7403dbd4a59cb6041ccbfa97,993,1404,PASS
fomberg_unit005,433,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-433.png,227140,03e592c08149b86b6c2377fc86122e44c44946e02a5abc77794fc471ec3aa041,993,1404,PASS
fomberg_unit005,434,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-434.png,185567,ff0e760fd376b5cda53445496a4e262ac1bf7c2fc1e17555a3c0d3686aa50e18,993,1404,PASS
fomberg_unit005,435,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-435.png,214582,bc868a603814c26398b3392f45370cca8badc2ee42917a1100c5252f85708207,993,1404,PASS
fomberg_unit005,436,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-436.png,220943,55122b251b75b0e51e92380dbc09ad5398748a40e3ba2cd4015d5706325a294c,993,1404,PASS
fomberg_unit005,437,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/tail-437.png,237735,2fbb8a00e0c4717fe80bb547823aae474026b2c3f6298fd927c66370b653caeb,993,1404,PASS
contact_sheet,1-6,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/contact-front.png,1871408,3c6e7689f588e728df488f7c4c922fd5e69d36696506810de174a3e2715b68fb,1332,1348,PASS
contact_sheet,424-430,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/contact-tail-a.png,2717098,09f7b8e18b5f8634fc85e000ee66e362467ca63691b5f1fb0e02006c4879b004,1776,1348,PASS
contact_sheet,431-437,tmp/pdfs/roberts-001-030-fomberg-001-005-visual/contact-tail-b.png,1158712,c17a44f78db9b1fe5d3e56286c437ea1423cd1c687115905d18c0d9d195afc35,1776,1348,PASS
